City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Umm Kaddadah,SD,2021-09-22 16:11:03,13.6017,26.6876,94.89,26,24,7.09
98,Teeli,RU,2021-09-22 16:11:04,51.0333,90.2333,40.06,53,100,1.54
99,Guiratinga,BR,2021-09-22 16:11:04,-16.3494,-53.7583,103.14,14,1,7.61
100,Haines Junction,CA,2021-09-22 16:11:04,60.7522,-137.5108,28.36,92,100,3.6
101,Bandarbeyla,SO,2021-09-22 16:11:05,9.4942,50.8122,77.59,82,28,28.63
102,Lasa,IT,2021-09-22 16:11:05,46.6166,10.7002,66.94,54,100,5.19
103,Isangel,VU,2021-09-22 16:11:05,-19.55,169.2667,74.37,88,57,5.32
104,Shagonar,RU,2021-09-22 16:11:05,51.5333,92.8,44.74,49,94,2.8
105,Singaraja,ID,2021-09-22 16:11:06,-8.112,115.0882,78.57,83,67,4.05
106,Nansio,TZ,2021-09-22 16:11:06,-2.1333,33.05,75.81,66,16,7.49
107,Mitsamiouli,KM,2021-09-22 16:11:06,-11.3847,43.2844,77.14,82,69,9.75
108,Severo-Kurilsk,RU,2021-09-22 16:11:07,50.6789,156.125,48.79,74,100,5.82
109,Pangody,RU,2021-09-22 16:11:07,65.85,74.4859,35.02,97,100,11.88
110,Hamilton,US,2021-09-22 16:11:07,39.1834,-84.5333,59.36,94,90,1.01
111,Esmeraldas,BR,2021-09-22 16:10:23,-19.7625,-44.3139,81.46,30,3,7.72
112,Houma,US,2021-09-22 16:11:07,29.5958,-90.7195,75.99,77,40,17.27
113,Salalah,OM,2021-09-22 16:11:08,17.0151,54.0924,80.69,89,75,6.91
114,Marovoay,MG,2021-09-22 16:11:08,-16.1,46.6333,78.06,56,8,8.34
115,Half Moon Bay,US,2021-09-22 16:11:08,37.4636,-122.4286,75.96,77,1,3.44
116,Aklavik,CA,2021-09-22 16:11:08,68.2191,-135.0107,32.88,81,100,10.65
117,Ambon,ID,2021-09-22 16:11:09,-3.6954,128.1814,77.14,94,40,3.44
118,San Jose,US,2021-09-22 16:08:20,37.3394,-121.895,76.51,71,20,3.44
119,Hermanus,ZA,2021-09-22 16:08:04,-34.4187,19.2345,68.81,55,59,8.93
120,Hervey Bay,AU,2021-09-22 16:11:09,-25.2986,152.8535,57.04,75,0,9.57
121,Vestmannaeyjar,IS,2021-09-22 16:11:09,63.4427,-20.2734,38.39,93,90,16.11
122,Harper,LR,2021-09-22 16:09:20,4.375,-7.7169,80.49,78,68,8.66
123,Labuhan,ID,2021-09-22 16:11:10,-6.8844,112.2051,80.98,77,58,10.8
124,East London,ZA,2021-09-22 16:11:10,-33.0153,27.9116,64.85,73,0,23.91
125,Tomatlan,MX,2021-09-22 16:11:10,19.9333,-105.25,84.65,72,33,1.3
126,Novo Aripuana,BR,2021-09-22 16:11:10,-5.1206,-60.3797,104.2,27,14,2.35
127,Carnarvon,AU,2021-09-22 16:11:11,-24.8667,113.6333,66.27,77,16,6.91
128,Nome,US,2021-09-22 16:10:22,64.5011,-165.4064,30.27,86,90,3.44
129,Batagay,RU,2021-09-22 16:11:11,67.6333,134.6333,34.84,75,81,2.55
130,Yarada,IN,2021-09-22 16:11:11,17.65,83.2667,84.52,89,75,4.61
131,Katsuura,JP,2021-09-22 16:11:12,35.1333,140.3,78.91,86,82,19.75
132,Mount Gambier,AU,2021-09-22 16:11:12,-37.8333,140.7667,51.71,93,90,10.36
133,Guerrero Negro,MX,2021-09-22 16:09:55,27.9769,-114.0611,77.7,64,99,6.13
134,Chokurdakh,RU,2021-09-22 16:11:12,70.6333,147.9167,31.5,79,98,8.48
135,Kaitangata,NZ,2021-09-22 16:11:12,-46.2817,169.8464,40.73,91,10,4.05
136,Mareeba,AU,2021-09-22 16:11:13,-17.0,145.4333,56.12,83,30,2.01
137,Umm Lajj,SA,2021-09-22 16:11:13,25.0213,37.2685,84.94,72,3,7.94
138,Prince Rupert,CA,2021-09-22 16:11:13,54.3161,-130.3201,49.53,88,65,4.88
139,Hobart,AU,2021-09-22 16:08:03,-42.8794,147.3294,56.26,61,40,4.0
140,Tiksi,RU,2021-09-22 16:11:14,71.6872,128.8694,35.82,85,99,3.78
141,Kodiak,US,2021-09-22 16:11:14,57.79,-152.4072,29.71,80,1,6.91
142,Mayo,US,2021-09-22 16:11:14,38.8876,-76.5119,81.0,85,90,15.01
143,Taltal,CL,2021-09-22 16:11:15,-25.4,-70.4833,64.72,59,3,10.0
144,Sechura,PE,2021-09-22 16:11:15,-5.5569,-80.8222,73.18,62,82,10.67
145,Naze,JP,2021-09-22 16:11:15,28.3667,129.4833,76.32,82,9,5.66
146,Anderson,US,2021-09-22 16:11:15,34.5334,-82.6499,75.25,96,90,3.0
147,Fare,PF,2021-09-22 16:11:16,-16.7,-151.0167,76.23,75,98,3.22
148,Thompson,CA,2021-09-22 16:09:46,55.7435,-97.8558,51.3,82,100,8.12
149,Meulaboh,ID,2021-09-22 16:11:16,4.1363,96.1285,77.7,84,78,2.84
150,Tonshayevo,RU,2021-09-22 16:11:16,57.736,47.0127,46.33,77,100,11.48
151,Coffs Harbour,AU,2021-09-22 16:11:17,-30.3,153.1333,50.13,81,2,2.3
152,Vanimo,PG,2021-09-22 16:11:17,-2.6741,141.3028,78.37,89,96,5.3
153,Arvika,SE,2021-09-22 16:11:17,59.6553,12.5852,57.9,81,84,8.41
